code,park,ent07,ent08,absolute variation
DOM-BAN,baní,6,7,1
DOM-BAR,barahona,2,2,0
DOM-BAY,bayaguana,1,0,-1
DOM-VIS,bella vista,1,1,0
DOM-BON,bonao,5,3,-2
DOM-CIP,caribbean ind. park,16,14,-2
DOM-CIB,cibernético,5,8,3
DOM-COT,cotuí,1,1,0
DOM-CHE,chemtec,7,5,-2
DOM-DPE,don pedro,1,0,-1
DOM-DOS,dos rios,1,1,0
DOM-LIM,el limonal,3,3,0
DOM-SEI,el seibo,1,2,1
DOM-ESP,esperanza,6,6,0
DOM-EXC,excel boca chica,3,2,-1
DOM-GUR,gurabo,9,8,-1
DOM-HAI,hainamosa,11,12,1
DOM-HAT,hato mayor,2,2,0
DOM-HAN,hato nuevo,3,3,0
DOM-CRI,san cristóbal (itabo),35,31,-4
DOM-JAI,jaibón,1,0,-1
DOM-ARM,la armería,8,8,0
DOM-HIS,la hispaniola,1,1,0
DOM-PAL,la palma,4,5,1
DOM-ROM,la romana i,7,7,0
DOM-RII,la romana ii,4,4,0
DOM-VEG,la vega,24,22,-2
DOM-LAG,laguna prieta,1,0,-1
DOM-LAS,las américas,23,23,0
DOM-ALC,los alcarrizos,14,12,-2
DOM-MIN,losmina,1,1,0
DOM-MOC,moca,6,7,1
DOM-MUT,multiparques,2,2,0
DOM-MUL,multimodal caucedo,2,2,0
DOM-NAV,navarrete,1,1,0
DOM-NIG,nigua,11,9,-2
DOM-PAB,palmar abajo,1,1,0
DOM-PAM,palmarejo,6,6,0
DOM-PED,pedernales,1,1,0
DOM-PIS,pisano,34,37,3
DOM-PUE,puerto plata,7,6,-1
DOM-QUI,quisqueya,1,2,1
DOM-SAL,salcedo,2,2,0
DOM-FRA,san fco. de macorís,2,2,0
DOM-ISI,san isidro,38,38,0
DOM-MAC,san pedro de macorís,40,42,2
DOM-S12,santiago,68,65,-3
DOM-JAN,santiago - jánico,3,1,-2
DOM-SLI,santiago - licey,7,8,1
DOM-TAM,tamboril,3,5,2
DOM-ALT,villa altagracia,9,9,0
DOM-MEL,villa mella,2,3,1
DOM-LUN,zona franca ind. luna,1,0,-1
DOM-ZFE,zonas francas especiales,72,82,10