code ,park_03,ele03,tss03,inf03,wat03,com03
DOM-AZU,Azua,60000,35000,50000,0,35000
DOM-BAN,Baní,6870899.33,6166225.07,1006133.71,310655.86,1284632.25
DOM-BAR,Barahona,30269420.79,1630382.78,735581.9,0,0
DOM-BAY,Bayaguana,55688,67588,0,10400,0
DOM-BON,Bonao,10371273.48,4459479.29,319901.72,907728.78,1750786.35
DOM-CIP,Caribbean Ind. Park,36867922.31,8784222.09,3333914.28,1085400.28,8733568.27
DOM-CHE,Chemtec,4602130.67,1503421.5,233244.74,177396.8,825149.72
DOM-CIB,Cibernético,22000,0,3000,0,70000
DOM-COT,Cotuí,566000,385548,19675.96,52604,118884.87
DOM-RAF,Don rafael,80000,440563.24,73915.1,11715,177743.5
DOM-ESP,Esperanza,21276192.5,15483501.07,2666631.66,1646453.79,2264735.88
DOM-EXC,Excel Boca Chica,879912,527425,100825.88,11183,708896
DOM-SEI,El Seibo,0,480000,80000,36000,51516
DOM-GLO,Global,0,263800,80300,35000,266000
DOM-GUR,Gurabo,9305761.59,4541115,1255761,303199.19,1401856.91
DOM-HAI,Hainamosa,4021745.75,2457641,415963.68,283300,2386604.58
DOM-HAT,Hato Mayor,689937.68,680984.38,109119.16,41257.5,185789.93
DOM-HAN,Hato Nuevo,120170,1056703,271119,0,501782
DOM-HIG,Higuey,2000000,1060000,165000,75000,350000
DOM-CRI,Iabo,191366523.7,25616961.28,7654849.11,3566382.49,25779624.82
DOM-JAI,Jaibón,0,0,0,0,0
DOM-CAN,la Canela,0,0,4510.1,0,0
DOM-ARM,La Armería,3817908.51,2976086.42,550258.47,37178,730368.99
DOM-ROM,La Romana I,47814816.03,25379912.02,2534539.02,2260398.7,3232831.04
DOM-RII,La Romana II,18782739.25,5243133.34,954827,757346.5,506756
DOM-VEG,La Vega,36287644.7,33048282.13,2877482.27,1383746.7,6395237.19
DOM-LAG,Laguna Prieta,600000,240000,90000,30000,180000
DOM-LAS,Las Américas,89759303.35,19479075.1,4603336.69,2031771.94,13600259.12
DOM-ALC,Los Alcarrizos,15851375.59,4545852.91,737730.28,449473.79,4158720.15
DOM-MIN,Los minas,210710.8,175600,50752.1,0,0
DOM-LUN,Luna,780000,911000,55200,19000,144000
DOM-MOI,Montecristi,67739.31,51577.75,7045,30326,131207
DOM-MOC,Moca,20580576.56,10664549.11,1618117.68,384307,2577300.69
DOM-MUL,Multimodal Caucedo,0,1372698,633145,0,4239266
DOM-NAV,Navarrete,5050331,1418276.5,230950.96,96000,0
DOM-NIG,Nigua,14439561.49,3513308.16,568067.27,306456.64,3185107.93
DOM-PAB,Palmar Abajo,0,27482,10992.83,0,0
DOM-PAM,Palmarejo,3169920,3572168,721576,0,470470
DOM-PED,Pedernales,95710.29,72020,0,0,95961.73
DOM-PIS,Pisano,19555619.53,8763119.6,1548329.04,1931589.45,5362284.53
DOM-PON,Pontezuela,264442,492760,104822,0,23765
DOM-PUE,Puerto Plata,9841753.51,6659583.19,735598.13,648764.22,2546894.34
DOM-QUI,Quisqueya,416155.6,0,65459,0,436130.57
DOM-SAL,Salcedo,600000,18953.85,0,0,253061.88
DOM-FRA,San Fco. deMacorís,3107986.38,2494719.22,134164.82,183970,504653.03
DOM-S12,Santiago I y II,201119669.6,92329447.79,16520485.61,34218860.57,21591433.41
DOM-ISI,San Isidro,76825402.54,19598138.37,4772733.2,1651186.39,25973656.16
DOM-JAN,Santiago-Jánico,18533222.7,3155411.87,487847.8,513944.02,1562350.12
DOM-SLI,Santiago-Licey,1372721.6,333102.6,99751.2,59152.5,912937.19
DOM-MAC,San Pedro de Macorís,83155099.4,36102364.97,5751414.08,1274951.86,12960394.39
DOM-TAM,Tamboril,4691649.35,359637.5,74234.54,525165.16,1135211.05
DOM-ALT,Villa Altagracia,11150215,10935678.33,1017692.59,325540,2487088.9
DOM-MEL,Villa Mella,6639000,4000743,100202,37800,1051400
SPE-DN1,ZFE Distrito Nac.,22815372.7,4936227.39,2429589.03,1786386.41,9186305.17
SPE-HIG,ZFE Higuey,5707911,289278,159743,92591,598118
SPE-VEG,ZFE La Vega,1538400,32800,7050.95,9640,8400
SPE-LRO,ZFE La Romana,3230227,133516,66758,151274,329680
SPE-TRI,ZFEMa. Trinidad S.,0,33908.16,10859.8,8879.8,144000
SPE-MON,ZFEMontecristi,122134,706546,233560,200000,416100
SPE-POP,ZFE Puerto Plata,4600000,182000,50000,53000,300000
SPE-SCR,ZFE San Cristóbal,10350582.66,1224357.07,150272.34,84639.5,463894.43
SPE-SAN,ZFE Santiago,10831486.67,2285228.8,457380.23,2673133,1657093.99
SPE-SFM,ZFE San Francisco deMacorís,0,29660,0,11881,245758
DOM-ZOF,Zofinma (Mao),1697505.69,914262.81,84503.15,36716.4,276210.84