code,park, inv01
 DOM-AZU,Azua,900000
 DOM-BAN,Baní,12655436.88
 DOM-BAR,Barahona,15789255
DOM-BAY,Bayaguana,15000
 DOM-BON,Bonao,6199952
 DOM-CIP,Caribbean Ind. Park,50560204.77
 DOM-CHE,Chemtec Enterprises,15028164.77
 DOM-CIB,Cibernético,100000
DOM-COT,Cotui,647057
 DOM-ESP,Esperanza,18349267
 DOM-EXC,Excel Boca Chica,1850848
 DOM-SEI,El Seibo,1100000
 DOM-GLO,Global,10459813.08
 DOM-GUR,Gurabo,7524131
 DOM-HAI,Hainamosa,9975665.39
 DOM-HAT,Hato Mayor,2081975
 DOM-HAN,Hato Nuevo,5500000
DOM-HIG,Higuey,2833731
 DOM-CRI,Itabo,173673194
DOM-JAI,Jaibón,2907462
 DOM-ARM,La Armería,5016030
 DOM-ROM,La Romana I,45700466
 DOM-RII,La Romana II,8748879
 DOM-VEG,La Vega,35333650.95
DOM-LAG,Laguna Prieta,1500000
 DOM-LAS,Las Américas,129646562
 DOM-ALC,Los Alcarrizos,19521896.75
DOM-MIN,Los Minas,2463428
DOM-LUN,Luna,365114
 DOM-MOI,Montecristi,1400000
 DOM-MOC,Moca,22788310.31
 DOM-NAV,Navarrete,5700000
 DOM-NIG,Nigua,42304221
 DOM-PAB,Palmar Abajo,0
 DOM-PAM,Palmarejo,21816691
 DOM-PED,Pedernales,182000
 DOM-PIS,PISANO,29449717
DOM-PON,Pontezuela,1760987
 DOM-PUE,Puerto Plata,7702847
DOM-QUI,Quisqueya,172030
DOM-SAL,Salcedo,424000
 DOM-FRA,San Fco. de Macorís,5737738
 DOM-ISI,San Isidro,80277740.85
 DOM-MAC,San Pedro de Macorís,77047150.49
DOM-S12,Santiago I y II,204519706
DOM-SLI,Santiago - Licey,5841036
DOM-JAN,Santiago - Jánico,18605411
 DOM-TAM,Tamboril,1105421
 DOM-MEL,Villa Mella,32130784
 DOM-ALT,Villa Artagracia,3300000
DOM-ZOF,Zofinma (Mao),593364
DOM-ZFE,Zonas Francas Especiales,115555165.5