park,ob_m_14,tec_m_14,adm_m_14,total_m_14,ob_f_14,tec_f_14,adm_f_14,total_f_14,total_mf_14
Andrés,40,6,9,55,3,1,8,12,67
Baní,201,77,31,309,159,4,16,179,488
Barahona,420,53,52,525,523,157,10,690,1215
Bella Vista,518,425,123,1066,52,19,47,118,1184
Bonao,97,19,4,120,185,6,10,201,321
Caribbean Ind. Park,1798,1061,149,3008,1422,443,181,2046,5054
Chemtec,175,24,24,223,202,5,25,232,455
Cibernético,42,350,20,412,1,418,42,461,873
Conacado Ind. Park,126,25,8,159,4,4,5,13,172
Dos Ríos,1446,445,73,1964,204,40,72,316,2280
El Limonal,125,22,24,171,165,5,24,194,365
El Seibo,7,2,6,15,130,2,9,141,156
Esperanza,1662,188,138,1988,727,90,49,866,2854
Excel Boca Chica,33,35,9,77,2,0,16,18,95
Global Zona Franca Industrial,3,2,3,8,0,0,3,3,11
Gurabo,1672,176,168,2016,1070,67,139,1276,3292
Hainamosa,143,31,8,182,129,7,16,152,334
Hato Mayor,51,10,2,63,120,12,7,139,202
Hato Nuevo,104,22,30,156,46,9,25,80,236
Interexpor Free Zone,95,104,22,221,0,0,13,13,234
La Armería,127,28,14,169,197,7,14,218,387
La Hispaniola,73,1,2,76,3,0,2,5,81
La Palma,318,17,10,345,384,1,14,399,744
La Romana I,1357,198,202,1757,2926,71,121,3118,4875
La Romana II,622,176,61,859,1222,289,103,1614,2473
La Vega,2982,468,131,3581,2992,158,102,3252,6833
Las Américas,2473,729,612,3814,7449,402,484,8335,12149
Los Alcarrizos,375,51,36,462,418,20,27,465,927
Los Rieles,310,31,10,351,284,21,26,331,682
Los Robles,38,24,4,66,0,16,9,25,91
Moca,408,94,23,525,563,24,36,623,1148
Multimodal Caucedo,42,8,7,57,1,1,1,3,60
Multiparques,185,56,47,288,5,2,57,64,352
Navarrete,509,37,18,564,452,32,24,508,1072
Nigua,488,278,101,867,753,78,55,886,1753
Palmar Abajo,1,0,0,1,0,0,0,0,1
Palmarejo,396,83,76,555,569,34,35,638,1193
Parque Industrial CDF,73,6,1,80,393,1,9,403,483
Parque Ind. KG Compañía Comercial,60,5,1,66,323,0,3,326,392
Parque Ind. y de Servicios Yaque,180,24,51,255,0,0,25,25,280
Parque Tecnológico de Santiago,210,4,11,225,83,3,9,95,320
Parque Z.F. Tecnológica de Herrera,0,270,15,285,0,230,11,241,526
Pedernales,165,7,7,179,182,0,8,190,369
PERLAV,101,55,30,186,160,68,46,274,460
PISANO,3251,498,263,4012,1744,122,169,2035,6047
Puerto Plata,375,77,20,472,389,16,26,431,903
Quisqueya,158,23,7,188,129,0,7,136,324
San Cristóbal (Itabo),4066,1228,738,6032,6102,561,628,7729,13323
San Francisco de Macorís,23,21,2,46,63,6,1,70,116
San Isidro,2077,1925,364,4366,5253,1385,335,6973,11339
San Pedro de Macorís,2770,788,341,3899,5478,303,288,6069,9968
Santiago,6952,1449,512,8913,7954,563,453,8970,17883
Santiago-Jánico,228,48,17,293,1,3,19,23,316
Tamboril,2113,398,92,2603,2778,165,76,3019,5622
Villa Altagracia,137,21,9,167,105,8,10,123,290
Villa Mella,142,24,10,176,109,10,7,126,302
Z.F. Ind. y de Servicios Norte Infiesto,6,0,2,8,1,0,1,2,10
Zona Franca Ind. Del Sur,3,1,2,6,0,0,0,0,6
Zona Franca Ind. Emimar,137,22,21,180,268,10,12,290,470
Zona Franca Ind. SAG,132,8,5,145,151,7,12,170,315
Zonas Francas Especiales,7110,6964,1837,15911,5395,3781,1107,10283,26194