code,park,ob_m_00,tec_m_00,adm_m_00,total_m_00,ob_f_00,tec_f_00,adm_f_00,total_f_00,total_mf_00
DOM-BAN,Baní,1066,96,90,1252,3286,104,40,3430,4682
DOM-BAR,Barahona,473,80,32,585,656,42,23,721,1306
DOM-BAY,Bayaguana,100,3,3,106,42,1,1,44,150
DOM-BON,Bonao,1667,74,27,1768,1918,13,23,1954,3722
DOM-CIP,Caribbean Ind. Park,2522,678,197,3397,1679,549,126,2354,5751
DOM-COT,Cotuí,173,15,8,196,167,7,8,182,378
DOM-SEI,El Seibo,53,6,3,62,84,2,2,88,150
DOM-ESP,Esperanza,4412,173,328,4913,2277,103,169,2549,7462
DOM-EXC,Excel Boca Chica,10,10,5,25,176,15,4,195,220
DOM-GLO,Global,94,10,10,114,235,3,6,244,358
DOM-GUR,Gurabo,1041,7,221,1269,884,6,171,1061,2330
DOM-HAI,Hainamosa,1670,42,58,1770,1130,68,38,1236,3006
DOM-HAT,Hato Mayor,166,17,12,195,309,8,6,323,518
DOM-HIG,Higuey,147,84,10,241,1022,99,8,1129,1370
DOM-CRI,Itabo,2975,486,336,3797,5575,376,297,6248,10045
DOM-JAI,Jaibón,13,5,0,18,57,2,3,62,80
DOM-ARM,La Armería,808,80,34,922,1719,37,30,1786,2708
DOM-ROM,La Romana I,4604,794,237,5635,7915,518,184,8617,14252
DOM-RII,La Romana II,403,102,40,545,1597,83,31,1711,2256
DOM-VEG,La Vega,6720,526,204,7450,5597,277,156,6030,13480
DOM-LAG,Laguna Prieta,39,1,2,42,30,1,3,34,76
DOM-LAS,Las Américas,3052,349,426,3827,5721,206,481,6408,10235
DOM-ALC,Los Alcarrizos,1068,157,81,1306,2105,59,62,2226,3532
DOM-MIN,Los Minas,2,0,2,4,0,1,1,2,6
DOM-MOC,Moca,2502,246,44,2792,3093,89,129,3311,6103
DOM-NAV,Navarrete,897,43,12,952,756,24,12,792,1744
DOM-NIG,Nigua,479,45,65,589,1065,9,51,1125,1714
DOM-CHE,Nueva Z.F. (Chem Tec),1389,197,87,1673,1173,51,65,1289,2962
DOM-PAB,Palmar Abajo,620,91,5,716,843,23,17,883,1599
DOM-PAM,Palmarejo,328,61,17,406,354,26,11,391,797
DOM-IHA,Parque Exp. Haina,179,24,26,229,490,28,14,532,761
DOM-PED,Pedernales,1,3,1,5,1,1,1,3,8
DOM-PIS,Pisano,1206,192,111,1509,888,43,68,999,2508
DOM-PON,Pontezuela,33,6,2,41,23,13,1,37,78
DOM-PUE,Puerto Plata,1251,144,39,1434,1927,176,48,2151,3585
DOM-SAL,Salcedo,175,16,4,195,140,0,2,142,337
DOM-FRA,San Fco. Macorís,398,27,10,435,514,24,11,549,984
DOM-ISI,San Isidro,2059,705,149,2913,3185,1171,201,4557,7470
DOM-MAC,San Pedro Mac.,6022,958,318,7298,9442,676,325,10443,17741
DOM-S12,Santiago I II,19463,2296,673,22432,20499,1279,569,22347,44779
DOM-JAN,Santiago-Jánico,196,17,11,224,30,5,6,41,265
DOM-SLI,Santiago-Licey,606,36,11,653,440,9,18,467,1120
DOM-TAM,Tamboril,5,0,5,10,14,0,1,15,25
DOM-ALT,Villa Altagracia,362,41,106,509,2476,15,131,2622,3131
DOM-MEL,Villa Mella,121,247,31,399,3089,400,107,3596,3995
DOM-ZOF,Zofinma (Mao),108,8,2,118,82,2,3,87,205