code,park,ob_m_04,tec_m_04,adm_m_04,total_m_04,ob_f_04,tec_f_04,adm_f_04,total_f_04,total_mf_04
DOM-AZU,Azua,8,0,2,10,47,0,0,47,57
DOM-BAN,Baní,985,101,23,1109,2184,98,20,2302,3411
DOM-BAR,Barahona,750,155,25,930,550,60,25,635,1565
DOM-BAY,Bayaguana,11,4,2,17,14,1,4,19,36
DOM-VIS,Bella Vista,30,15,3,48,1,0,4,5,53
DOM-BON,Bonao,1335,55,16,1406,1538,6,28,1572,2978
DOM-CIP,Caribbean Ind. Park,2747,365,128,3240,2425,175,158,2758,5998
DOM-CIB,Cibernético,1,3,0,4,0,0,1,1,5
DOM-COT,Cotuí,204,32,5,241,203,13,4,220,461
DOM-CHE,Chemtec,429,75,49,553,460,12,37,509,1062
DOM-SEI,El Seibo,81,2,2,85,263,1,2,266,351
DOM-ESP,Esperanza,3510,455,159,4124,2483,174,100,2757,6881
DOM-EXC,Excel Boca Chica,19,8,12,39,78,10,12,100,139
DOM-DPE,Don Pedro,30,6,1,37,5,0,1,6,43
DOM-RAF,Don Rafael,2,0,1,3,1,0,1,2,5
DOM-GLO,Global,80,16,11,107,151,2,4,157,264
DOM-GUR,Gurabo,1136,119,55,1310,985,69,213,1267,2577
DOM-HAI,Hainamosa,598,50,49,697,1057,21,28,1106,1803
DOM-HAT,Hato Mayor,94,14,2,110,267,6,5,278,388
DOM-HAN,Hato Nuevo,466,24,6,496,216,18,12,246,742
DOM-HIG,Higüey,52,26,3,81,350,10,3,363,444
DOM-CRI,Itabo,3552,569,630,4751,6166,241,438,6845,11596
DOM-JAI,Jaibón,42,23,1,66,1,3,0,4,70
DOM-ARM,La Armería,858,79,27,964,1306,52,24,1382,2346
DOM-CAN,La Canela,13,15,2,30,0,2,1,3,33
DOM-PAL,La Palma,82,4,1,87,55,2,2,59,146
DOM-ROM,La Romana I,2705,333,166,3204,4803,198,102,5103,8307
DOM-RII,La Romana II,534,77,27,638,1926,154,20,2100,2738
DOM-VEG,La Vega,4700,607,154,5461,4393,241,157,4791,10252
DOM-LAG,Laguna Prieta,7,1,1,9,1,0,1,2,11
DOM-LAS,Las Américas,3689,549,415,4653,5860,320,332,6512,11165
DOM-ALC,Los Alcarrizos,1360,130,63,1553,1456,54,62,1572,3125
DOM-MIN,Los Mina,12,13,7,32,0,2,2,4,36
DOM-MOC,Moca,2077,367,104,2548,2416,205,60,2681,5229
DOM-MOI,Montecristi,60,4,1,65,75,5,5,85,150
DOM-MUL,Multimodal Caucedo,596,151,147,894,6,2,35,43,937
DOM-NAV,Navarrete,978,34,5,1017,1004,27,3,1034,2051
DOM-NIG,Nigua,633,175,67,875,651,39,48,738,1613
DOM-PAB,Palmar Abajo,17,1,0,18,8,1,1,10,28
DOM-PAM,Palmarejo,419,90,12,521,515,44,24,583,1104
DOM-PED,Pedernales,25,5,3,33,88,4,4,96,129
DOM-PEV,PEVISA,220,12,38,270,460,2,24,486,756
DOM-PIS,PISANO,1933,254,183,2370,1421,84,125,1630,4000
DOM-PON,Pontezuela,41,11,1,53,38,8,0,46,99
DOM-PUE,Puerto Plata,1161,347,32,1540,1509,130,39,1678,3218
DOM-QUI,Quisqueya,40,21,6,67,5,0,3,8,75
DOM-SAL,Salcedo,269,40,30,339,169,32,30,231,570
DOM-FRA,San Fco. Macorís,408,41,5,454,596,9,20,625,1079
DOM-ISI,San Isidro,3250,1154,379,4783,3607,973,257,4837,9620
DOM-MAC,San Pedro Macorís,5668,1185,411,7264,9995,852,410,11257,18521
DOM-S12,Santiago,19342,2192,955,22489,18994,1320,785,21099,43588
DOM-JAN,Santiago-Jánico,761,231,64,1056,390,62,113,565,1621
DOM-SLI,Santiago-Licey,529,51,19,599,236,23,26,285,884
DOM-TAM,Tamboril,332,26,14,372,221,13,21,255,627
DOM-ALT,Villa Altagracia,242,15,7,264,688,10,3,701,965
DOM-MEL,Villa Mella,220,149,49,418,2303,150,49,2502,2920
DOM-LUN,Zona Franca Ind. Luna,175,91,5,271,228,12,7,247,518
DOM-ZOF,ZOFINMA (Mao),258,19,2,279,127,1,5,133,412
,Z.F. Especiales,4354,515,392,5261,3136,102,346,3584,8845