code,park,ob_m_07,tec_m_07,adm_m_07,total_m_07,ob_f_07,tec_f_07,adm_f_07,total_f_07,total_mf_07
DOM-BAN,Baní,441,55,16,512,883,90,13,986,1498
DOM-BAR,Barahona,610,30,10,650,200,28,7,235,885
DOM-BAY,Bayaguana,6,2,1,9,5,0,3,8,17
DOM-VIS,Bella Vista,486,389,166,1041,58,1,21,80,1121
DOM-BON,Bonao,502,20,4,526,713,4,9,726,1252
DOM-CIP,Caribbean Ind. Park,2313,1372,87,3772,2024,558,156,2738,6510
DOM-CIB,Cibernético,28,508,24,560,20,191,20,231,791
DOM-COT,Cotuí,134,16,2,152,144,8,2,154,306
DOM-CHE,Chemtec,247,59,61,367,545,40,66,651,1018
DOM-LIM,El Limonal,72,7,10,89,59,2,10,71,160
DOM-SEI,El Seibo,15,6,1,22,86,13,1,100,122
DOM-ESP,Esperanza,2398,296,68,2762,1260,194,47,1501,4263
DOM-EXC,Excel Boca Chica,33,7,13,53,58,0,23,81,134
DOM-DOS,Dos Ríos,1158,31,81,1270,94,3,36,133,1403
DOM-DPE,Don Pedro,15,3,2,20,16,1,6,23,43
DOM-GUR,Gurabo,1158,86,272,1516,1051,19,229,1299,2815
DOM-HAI,Hainamosa,332,42,22,396,423,27,29,479,875
DOM-HAT,HatoMayor,131,32,3,166,519,15,7,541,707
DOM-HAN,Hato Nuevo,34,5,4,43,28,2,11,41,84
DOM-CRI,Itabo,3330,1025,767,5122,5882,314,615,6811,11933
DOM-JAI,Jaibón,29,5,1,35,7,1,2,10,45
DOM-ARM,La Armería,278,49,21,348,793,23,24,840,1188
DOM-HIS,La Hispaniola,52,2,3,57,3,0,0,3,60
DOM-PAL,La Palma,128,6,10,144,256,0,5,261,405
DOM-ROM,La Romana I,1228,205,146,1579,2700,55,97,2852,4431
DOM-RII,La Romana II,300,101,18,419,1018,17,13,1048,1467
DOM-VEG,La Vega,2100,242,72,2414,2044,78,80,2202,4616
DOM-LAG,Laguna Prieta,2,0,0,2,0,0,0,0,2
DOM-LAS,Las Américas,3713,735,668,5116,5330,443,421,6194,11310
DOM-ALC,Los Alcarrizos,510,122,54,686,413,21,50,484,1170
DOM-MIN,Los Mina,2,2,1,5,2,0,1,3,8
DOM-MOC,Moca,579,88,16,683,583,27,21,631,1314
DOM-MUT,Multiparques,180,23,25,228,5,2,40,47,275
DOM-MUL,Multimodal Caucedo,8,7,5,20,0,0,0,0,20
DOM-NAV,Navarrete,185,35,6,226,398,15,9,422,648
DOM-NIG,Nigua,455,122,90,667,630,30,47,707,1374
DOM-PAB,Palmar Abajo,9,2,1,12,4,1,1,6,18
DOM-PAM,Palmarejo,688,130,33,851,677,54,26,757,1608
DOM-PED,Pedernales,124,14,7,145,217,10,3,230,375
DOM-PIS,PISANO,1887,287,163,2337,1214,73,138,1425,3762
DOM-PUE,Puerto Plata,606,162,22,790,690,101,26,817,1607
DOM-QUI,Quiqueya,47,6,0,53,10,2,2,14,67
DOM-SAL,Salcedo,87,18,16,121,69,25,10,104,225
DOM-FRA,San Fco. Macorís,222,31,1,254,264,5,16,285,539
DOM-ISI,San Isidro,2061,834,380,3275,4050,581,361,4992,8267
DOM-MAC,San PedroMacorís,2708,895,273,3876,6543,474,266,7283,11159
DOM-S12,Santiago,6623,974,510,8107,8414,715,441,9570,17677
DOM-JAN,Santiago-Jánico,486,36,46,568,374,18,16,408,976
DOM-SLI,Santiago-Licey,61,32,6,99,17,6,9,32,131
DOM-TAM,Tamboril,204,11,23,238,315,1,11,327,565
DOM-ALT,Villa Altagracia,81,27,18,126,72,12,18,102,228
DOM-MEL,VillaMella,18,6,4,28,3,0,3,6,34
DOM-LUN,Zona Franca Ind.Luna,31,5,4,40,23,2,2,27,67
,Z.F. Especiales,6218,867,901,7986,5607,292,727,6626,14612