code,park,ob_m_11,tec_m_11,adm_m_11,total_m_11,ob_f_11,tec_f_11,adm_f_11,total_f_11,total_mf_11
DOM-AND,Andrés,0,50,8,58,0,7,2,9,67
DOM-BAN,Baní,393,51,19,463,538,72,9,619,1082
DOM-BAR,Barahona,85,15,5,105,15,0,5,20,125
DOM-VIS,Bella Vista,487,442,61,990,66,41,34,141,1131
DOM-BON,Bonao,153,16,3,172,277,4,11,292,464
DOM-CIP,Caribbean Ind. Park,1155,542,85,1782,962,286,113,1361,3143
DOM-CHE,Chemtec,215,44,44,303,289,9,33,331,634
DOM-CIB,Cibernético,202,94,55,351,102,28,75,205,556
DOM-DOS,Dos Ríos,1320,63,16,1399,297,45,29,371,1770
DOM-LIM,El Limonal,106,11,2,119,134,6,6,146,265
DOM-SEI,El Seibo,8,2,2,12,73,1,6,80,92
DOM-ESP,Esperanza,1087,92,83,1262,824,61,46,931,2193
DOM-EXC,Excel Boca Chica,45,8,6,59,2,2,10,14,73
DOM-GUR,Gurabo,708,84,63,855,617,44,74,735,1590
DOM-HAI,Hainamosa,133,23,14,170,127,10,9,146,316
DOM-HAT,Hato Mayor,20,1,1,22,58,2,2,62,84
DOM-HAN,Hato Nuevo,42,15,9,66,19,37,17,73,139
DOM-INT,Interexport Free Zone,157,47,21,225,0,0,10,10,235
DOM-JAI,Jaibón,9,2,0,11,0,0,1,1,12
DOM-ARM,La Armería,112,21,8,141,194,9,8,211,352
DOM-HIS,La Hispaniola,10,1,1,12,3,2,1,6,18
DOM-PAL,La Palma,380,17,11,408,22,0,6,28,436
DOM-ROM,La Romana I,1366,323,169,1858,3150,61,108,3319,5177
DOM-RII,La Romana II,265,258,63,586,1014,133,40,1187,1773
DOM-VEG,La Vega,2245,390,64,2699,2504,90,60,2654,5353
DOM-LAS,Las Américas,2402,836,495,3733,6449,458,361,7268,11001
DOM-ALC,Los Alcarrizos,480,57,63,600,585,10,44,639,1239
DOM-MOC,Moca,551,50,65,666,683,8,78,769,1435
DOM-MUL,Multimodal Caucedo,0,7,4,11,0,0,1,1,12
DOM-MUT,Multiparques,134,60,43,237,5,2,43,50,287
DOM-NAV,Navarrete,609,19,10,638,476,15,10,501,1139
DOM-NIG,Nigua,441,192,123,756,486,39,57,582,1338
DOM-PAM,Palmarejo,323,81,11,415,284,41,22,347,762
DOM-PAB,Palmar Abajo,1,0,0,1,0,0,0,0,1
DOM-YAQ,Parque Ind. y de Servicios Yaque,221,29,39,289,2,1,28,31,320
DOM-SLI,Parque Tecnológico de Santiago,117,6,11,134,85,5,9,99,233
DOM-PED,Pedernales,274,2,6,282,305,0,11,316,598
DOM-PER,PERLAV,100,45,87,232,168,57,83,308,540
DOM-PIS,PISANO,2424,412,174,3010,1399,75,121,1595,4605
DOM-PON,Pontezuela,0,0,0,0,0,0,1,1,1
DOM-PUE,Puerto Plata,421,20,12,453,496,2,14,512,965
DOM-SAL,Salcedo,69,3,1,73,89,16,0,105,178
DOM-CRI,San Cristóbal (Itabo),3433,754,551,4738,6309,277,506,7092,11830
DOM-FRA,San Francisco de Macorís,23,21,2,46,63,5,2,70,116
DOM-ISI,San Isidro,3091,853,322,4266,5307,491,313,6111,10377
DOM-MAC,San Pedro de Macorís,2306,733,235,3274,4966,352,257,5575,8849
DOM-S12,Santiago,5363,1014,495,6872,6641,350,387,7378,14250
DOM-JAN,Santiago-Jánico,241,13,23,277,115,0,15,130,407
DOM-TAM,Tamboril,997,67,44,1108,1819,45,75,1939,3047
DOM-ALT,Villa Altagracia,84,8,12,104,90,4,8,102,206
DOM-MEL,Villa Mella,70,10,5,85,107,5,6,118,203
,Zona Francas Especiales,9202,2842,1161,13205,6647,1165,971,8783,21988