code,park,ob_m_12,tec_m_12,adm_m_12,total_m_12,ob_f_12,tec_f_12,adm_f_12,total_f_12,total_mf_12
DOM-AND,Andrés,41,6,7,54,7,0,5,12,66
DOM-BAN,Baní,191,49,12,252,324,75,10,409,661
DOM-BAR,Barahona,91,16,5,112,16,0,5,21,133
DOM-VIS,Bella Vista,500,347,164,1011,56,18,49,123,1134
DOM-BON,Bonao,64,14,3,81,172,6,12,190,271
DOM-CIP,Caribbean Ind. Park,1472,803,91,2366,1245,441,116,1802,4168
DOM-CHE,Chemtec,238,36,25,299,326,12,29,367,666
DOM-CIB,Cibernético,243,105,77,425,249,53,101,403,828
DOM-DOS,Dos Ríos,991,383,61,1435,205,71,50,326,1761
DOM-LIM,El Limonal,36,12,5,53,67,9,7,83,136
DOM-SEI,El Seibo,11,4,0,15,100,1,2,103,118
DOM-ESP,Esperanza,1008,125,160,1293,579,64,54,697,1990
DOM-EXC,Excel Boca Chica,40,8,6,54,2,2,7,11,65
DOM-GLO,Global Zona Franca Industrial,1,2,0,3,0,0,1,1,4
DOM-GUR,Gurabo,907,139,81,1127,619,34,87,740,1867
DOM-HAI,Hainamosa,184,31,11,226,150,3,13,166,392
DOM-HAT,HatoMayor,65,8,0,73,159,6,5,170,243
DOM-HAN,Hato Nuevo,41,21,12,74,12,10,16,38,112
DOM-INT,Interexport Free Zone,141,40,19,200,0,0,8,8,208
DOM-JAI,Jaibón,10,2,1,13,0,0,0,0,13
DOM-ARM,La Armería,98,43,12,153,230,20,11,261,414
DOM-HIS,La Hispaniola,3,3,2,8,0,0,1,1,9
DOM-PAL,La Palma,275,22,8,305,343,3,6,352,657
DOM-ROM,La Romana I,1475,325,165,1965,2950,82,101,3133,5098
DOM-RII,La Romana II,440,79,61,580,1359,31,35,1425,2005
DOM-VEG,La Vega,2200,449,59,2708,2404,122,51,2577,5285
DOM-LAS,Las Américas,2385,906,480,3771,6893,540,370,7803,11574
DOM-ALC,Los Alcarrizos,432,82,55,569,608,26,39,673,1242
DOM-MOC,Moca,528,93,25,646,771,44,34,849,1495
DOM-MUL,Multimodal Caucedo,2,6,4,12,1,0,1,2,14
DOM-MUT,Multiparques,153,64,46,263,5,2,49,56,319
DOM-NAV,Navarrete,482,18,9,509,484,17,7,508,1017
DOM-NIG,Nigua,446,219,116,781,555,58,75,688,1469
DOM-PAB,Palmar Abajo,1,0,0,1,0,0,0,0,1
DOM-PAM,Palmarejo,315,109,12,436,411,43,21,475,911
DOM-YAQ,Parque Ind. y de Servicios Yaque,162,25,44,231,2,0,25,27,258
DOM-SLI,Parque Tecnológico de Santiago,117,10,7,134,87,5,10,102,236
DOM-PED,Pedernales,156,18,4,178,194,3,8,205,383
DOM-PER,PERLAV,108,31,31,170,144,53,40,237,407
DOM-PIS,PISANO,2658,389,186,3233,1522,90,128,1740,4973
DOM-PON,Pontezuela al Medio,0,0,0,0,0,0,1,1,1
DOM-PUE,Puerto Plata,502,30,17,549,466,5,30,501,1050
DOM-SAL,Salcedo,115,3,2,120,164,17,2,183,303
DOM-CRI,San Cristóbal (Itabo),3674,886,632,5192,6229,312,529,7070,12262
DOM-FRA,San Francisco de Macorís,27,23,4,54,60,5,2,67,121
DOM-ISI,San Isidro,3221,1001,300,4522,5449,569,307,6325,10847
DOM-MAC,San Pedro deMacorís,2358,867,243,3468,4933,439,275,5647,9115
DOM-S12,Santiago,6267,1371,505,8143,7445,436,428,8309,16452
DOM-JAN,Santiago-Jánico,232,42,14,288,123,0,17,140,428
DOM-TAM,Tamboril,1286,161,64,1511,2086,58,79,2223,3734
DOM-ALT,Villa Altagracia,100,17,6,123,85,2,11,98,221
DOM-MEL,Villa Mella,67,17,10,94,99,14,8,121,215
DOM-SAG,Zona Franca Ind. SAG,147,3,14,164,119,6,4,129,293
DOM-ZFE,Zonas Francas Especiales,9675,3890,1249,14814,6789,1851,878,9518,24332