code,ob_m_00,tec_m_00,adm_m_00,ob_m_01,tec_m_01,adm_m_01,ob_m_02,tec_m_02,adm_m_02,ob_m_03,tec_m_03,adm_m_03,ob_m_04,tec_m_04,adm_m_04,ob_m_05,tec_m_05,adm_m_05,ob_m_06,tec_m_06,adm_m_06,ob_m_07,tec_m_07,adm_m_07,ob_m_08,tec_m_08,adm_m_08,ob_m_09,tec_m_09,adm_m_09,ob_m_10,tec_m_10,adm_m_10,ob_m_11,tec_m_11,adm_m_11,ob_m_12,tec_m_12,adm_m_12,ob_m_14,tec_m_14,adm_m_14,ob_m_15,tec_m_15,adm_m_15,ob_m_16,tec_m_16,adm_m_16
DOM-KEP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,6.0,3.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DOM-KGC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,5.0,1.0,64.0,5.0,1.0,53.0,3.0,1.0
DOM-LAG,39.0,1.0,2.0,51.0,1.0,2.0,42.0,12.0,3.0,41.0,15.0,2.0,7.0,1.0,1.0,3.0,0.0,1.0,3.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DOM-LAS,3052.0,349.0,426.0,2651.0,371.0,335.0,2854.0,291.0,383.0,3420.0,288.0,388.0,3689.0,549.0,415.0,3604.0,737.0,381.0,3540.0,719.0,375.0,3713.0,735.0,668.0,4070.0,619.0,632.0,2445.0,712.0,559.0,2991.0,824.0,441.0,2402.0,836.0,495.0,2385.0,906.0,480.0,2473.0,729.0,612.0,2647.0,839.0,487.0,2615.0,1040.0,397.0
DOM-LIM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,105.0,17.0,15.0,75.0,12.0,10.0,72.0,7.0,10.0,69.0,8.0,10.0,100.0,7.0,6.0,70.0,10.0,2.0,106.0,11.0,2.0,36.0,12.0,5.0,125.0,22.0,24.0,63.0,15.0,17.0,68.0,13.0,23.0
DOM-LUN,0.0,0.0,0.0,52.0,3.0,5.0,151.0,24.0,1.0,183.0,67.0,4.0,175.0,91.0,5.0,208.0,37.0,9.0,173.0,13.0,6.0,31.0,5.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DOM-MAC,6022.0,958.0,318.0,4671.0,1089.0,308.0,5127.0,921.0,334.0,5012.0,1106.0,340.0,5668.0,1185.0,411.0,4014.0,924.0,309.0,3287.0,760.0,306.0,2708.0,895.0,273.0,3559.0,762.0,299.0,2559.0,695.0,283.0,2718.0,808.0,298.0,2306.0,733.0,235.0,2358.0,867.0,243.0,2770.0,788.0,341.0,3200.0,1035.0,416.0,3132.0,985.0,466.0
DOM-MAI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,3.0,61.0,11.0,4.0
DOM-MEL,121.0,247.0,31.0,243.0,177.0,36.0,90.0,103.0,62.0,103.0,117.0,11.0,220.0,149.0,49.0,169.0,119.0,65.0,166.0,128.0,69.0,18.0,6.0,4.0,47.0,13.0,5.0,63.0,26.0,5.0,73.0,11.0,6.0,70.0,10.0,5.0,67.0,17.0,10.0,142.0,24.0,10.0,98.0,22.0,10.0,89.0,25.0,7.0
DOM-MIN,2.0,0.0,2.0,90.0,6.0,5.0,121.0,11.0,4.0,21.0,3.0,2.0,12.0,13.0,7.0,39.0,13.0,8.0,21.0,9.0,7.0,2.0,2.0,1.0,0.0,4.0,2.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DOM-MOC,2502.0,246.0,44.0,2394.0,241.0,44.0,2283.0,372.0,48.0,1903.0,342.0,93.0,2077.0,367.0,104.0,1355.0,282.0,31.0,1418.0,187.0,54.0,579.0,88.0,16.0,460.0,65.0,17.0,283.0,69.0,77.0,584.0,64.0,22.0,551.0,50.0,65.0,528.0,93.0,25.0,408.0,94.0,23.0,417.0,57.0,30.0,495.0,93.0,33.0
DOM-MOI,0.0,0.0,0.0,5.0,3.0,1.0,27.0,4.0,3.0,50.0,5.0,2.0,60.0,4.0,1.0,36.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DOM-MUL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.0,20.0,0.0,14.0,7.0,596.0,151.0,147.0,29.0,25.0,8.0,17.0,24.0,4.0,8.0,7.0,5.0,0.0,2.0,3.0,0.0,2.0,3.0,0.0,4.0,5.0,0.0,7.0,4.0,2.0,6.0,4.0,42.0,8.0,7.0,39.0,27.0,5.0,16.0,24.0,9.0
DOM-MUT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,180.0,23.0,25.0,194.0,22.0,25.0,179.0,20.0,24.0,137.0,59.0,41.0,134.0,60.0,43.0,153.0,64.0,46.0,185.0,56.0,47.0,298.0,76.0,45.0,146.0,70.0,49.0
DOM-NAV,897.0,43.0,12.0,752.0,12.0,5.0,490.0,20.0,4.0,767.0,6.0,5.0,978.0,34.0,5.0,573.0,59.0,23.0,342.0,55.0,20.0,185.0,35.0,6.0,432.0,31.0,10.0,367.0,17.0,10.0,489.0,17.0,6.0,609.0,19.0,10.0,482.0,18.0,9.0,509.0,37.0,18.0,596.0,51.0,29.0,697.0,89.0,41.0
DOM-NIG,479.0,45.0,65.0,482.0,53.0,217.0,530.0,102.0,140.0,473.0,136.0,77.0,633.0,175.0,67.0,373.0,170.0,62.0,440.0,154.0,105.0,455.0,122.0,90.0,366.0,153.0,100.0,366.0,128.0,91.0,358.0,148.0,102.0,441.0,192.0,123.0,446.0,219.0,116.0,488.0,278.0,101.0,525.0,271.0,103.0,643.0,325.0,116.0
DOM-NOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
DOM-PAB,620.0,91.0,5.0,10.0,0.0,1.0,14.0,0.0,0.0,13.0,1.0,0.0,17.0,1.0,0.0,17.0,4.0,1.0,17.0,4.0,1.0,9.0,2.0,1.0,20.0,4.0,1.0,15.0,2.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
DOM-PAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.0,4.0,1.0,83.0,6.0,1.0,99.0,6.0,5.0,128.0,6.0,10.0,209.0,15.0,12.0,136.0,6.0,6.0,168.0,7.0,14.0,380.0,17.0,11.0,275.0,22.0,8.0,318.0,17.0,10.0,401.0,31.0,10.0,390.0,7.0,11.0
DOM-PAM,328.0,61.0,17.0,312.0,59.0,18.0,349.0,49.0,16.0,337.0,47.0,44.0,419.0,90.0,12.0,505.0,86.0,27.0,533.0,116.0,32.0,688.0,130.0,33.0,488.0,66.0,34.0,323.0,93.0,22.0,352.0,100.0,23.0,323.0,81.0,11.0,315.0,109.0,12.0,396.0,83.0,76.0,293.0,99.0,30.0,305.0,86.0,24.0
DOM-PED,1.0,3.0,1.0,7.0,0.0,1.0,6.0,0.0,1.0,14.0,2.0,1.0,25.0,5.0,3.0,32.0,4.0,3.0,112.0,5.0,3.0,124.0,14.0,7.0,147.0,11.0,5.0,435.0,20.0,12.0,233.0,21.0,6.0,274.0,2.0,6.0,156.0,18.0,4.0,165.0,7.0,7.0,244.0,7.0,13.0,284.0,5.0,5.0
DOM-PER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,103.0,42.0,100.0,45.0,87.0,108.0,31.0,31.0,101.0,55.0,30.0,102.0,55.0,31.0,97.0,53.0,30.0
DOM-PEV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,220.0,12.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DOM-PIS,1206.0,192.0,111.0,1374.0,250.0,127.0,1727.0,220.0,133.0,1709.0,203.0,138.0,1933.0,254.0,183.0,1848.0,289.0,161.0,1972.0,331.0,169.0,1887.0,287.0,163.0,1711.0,344.0,171.0,1752.0,310.0,156.0,2215.0,138.0,172.0,2424.0,412.0,174.0,2658.0,389.0,186.0,3251.0,498.0,263.0,3141.0,567.0,243.0,2960.0,561.0,259.0
DOM-PON,33.0,6.0,2.0,65.0,7.0,5.0,111.0,14.0,6.0,51.0,10.0,4.0,41.0,11.0,1.0,73.0,15.0,1.0,79.0,15.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DOM-PUE,1251.0,144.0,39.0,1190.0,175.0,47.0,1091.0,302.0,38.0,1439.0,404.0,30.0,1161.0,347.0,32.0,697.0,262.0,31.0,304.0,295.0,25.0,606.0,162.0,22.0,501.0,161.0,21.0,368.0,117.0,22.0,353.0,32.0,42.0,421.0,20.0,12.0,502.0,30.0,17.0,375.0,77.0,20.0,406.0,83.0,24.0,292.0,54.0,28.0
DOM-QUI,0.0,0.0,0.0,13.0,20.0,2.0,39.0,30.0,7.0,90.0,35.0,5.0,40.0,21.0,6.0,0.0,0.0,0.0,51.0,5.0,3.0,47.0,6.0,0.0,82.0,13.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,158.0,23.0,7.0,95.0,27.0,5.0,58.0,32.0,5.0
DOM-RAF,0.0,0.0,0.0,0.0,0.0,0.0,53.0,4.0,1.0,63.0,4.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DOM-RIE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,310.0,31.0,10.0,355.0,37.0,10.0,416.0,25.0,3.0
DOM-RII,403.0,102.0,40.0,532.0,263.0,41.0,602.0,164.0,38.0,512.0,122.0,32.0,534.0,77.0,27.0,306.0,95.0,22.0,276.0,85.0,12.0,300.0,101.0,18.0,299.0,98.0,22.0,223.0,207.0,26.0,253.0,236.0,31.0,265.0,258.0,63.0,440.0,79.0,61.0,622.0,176.0,61.0,485.0,294.0,105.0,508.0,211.0,102.0
DOM-ROB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,24.0,4.0,43.0,24.0,5.0,0.0,0.0,0.0
DOM-ROM,4604.0,794.0,237.0,3993.0,718.0,197.0,3465.0,407.0,175.0,3037.0,387.0,161.0,2705.0,333.0,166.0,1366.0,218.0,138.0,1380.0,246.0,135.0,1228.0,205.0,146.0,1262.0,205.0,145.0,1059.0,194.0,155.0,1394.0,291.0,167.0,1366.0,323.0,169.0,1475.0,325.0,165.0,1357.0,198.0,202.0,1427.0,188.0,237.0,1288.0,173.0,239.0
DOM-S12,19463.0,2296.0,673.0,15975.0,2471.0,720.0,18429.0,2493.0,871.0,17499.0,2430.0,928.0,19342.0,2192.0,955.0,15273.0,1982.0,753.0,12316.0,2065.0,686.0,6623.0,974.0,510.0,5592.0,1155.0,499.0,5577.0,1036.0,490.0,5308.0,1072.0,470.0,5363.0,1014.0,495.0,6267.0,1371.0,505.0,6952.0,1449.0,512.0,7051.0,1333.0,547.0,7085.0,1631.0,556.0
DOM-SAG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,147.0,3.0,14.0,132.0,8.0,5.0,83.0,8.0,3.0,102.0,9.0,4.0
DOM-SAL,175.0,16.0,4.0,154.0,14.0,4.0,25.0,7.0,2.0,156.0,8.0,6.0,269.0,40.0,30.0,192.0,32.0,18.0,62.0,22.0,10.0,87.0,18.0,16.0,355.0,21.0,20.0,110.0,4.0,7.0,98.0,0.0,5.0,69.0,3.0,1.0,115.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DOM-SEI,53.0,6.0,3.0,7.0,9.0,4.0,3.0,11.0,7.0,24.0,0.0,2.0,81.0,2.0,2.0,104.0,8.0,3.0,58.0,8.0,4.0,15.0,6.0,1.0,9.0,5.0,3.0,2.0,1.0,3.0,5.0,2.0,0.0,8.0,2.0,2.0,11.0,4.0,0.0,7.0,2.0,6.0,17.0,3.0,1.0,13.0,2.0,1.0
DOM-SLI,606.0,36.0,11.0,536.0,85.0,17.0,409.0,52.0,15.0,378.0,45.0,18.0,529.0,51.0,19.0,349.0,59.0,69.0,141.0,13.0,7.0,61.0,32.0,6.0,211.0,6.0,17.0,178.0,9.0,11.0,184.0,6.0,8.0,117.0,6.0,11.0,117.0,10.0,7.0,210.0,4.0,11.0,165.0,4.0,14.0,179.0,7.0,14.0
DOM-SUN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,2.0,2.0
DOM-SUR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,2.0,31.0,0.0,2.0,30.0,0.0,2.0
DOM-TAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,33.0,1.0,5.0
DOM-TAM,5.0,0.0,5.0,87.0,16.0,7.0,160.0,34.0,9.0,250.0,53.0,14.0,332.0,26.0,14.0,268.0,72.0,26.0,159.0,32.0,24.0,204.0,11.0,23.0,530.0,26.0,67.0,294.0,25.0,41.0,190.0,72.0,32.0,997.0,67.0,44.0,1286.0,161.0,64.0,2113.0,398.0,92.0,1932.0,413.0,113.0,2433.0,368.0,114.0
DOM-VEG,6720.0,526.0,204.0,4970.0,451.0,243.0,5415.0,542.0,140.0,5182.0,587.0,136.0,4700.0,607.0,154.0,3224.0,349.0,139.0,3032.0,383.0,140.0,2100.0,242.0,72.0,2027.0,266.0,111.0,1616.0,239.0,62.0,2528.0,332.0,58.0,2245.0,390.0,64.0,2200.0,449.0,59.0,2982.0,468.0,131.0,2901.0,453.0,77.0,2508.0,442.0,90.0
DOM-VIS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,15.0,3.0,395.0,57.0,52.0,720.0,218.0,165.0,486.0,389.0,166.0,847.0,102.0,112.0,757.0,125.0,103.0,805.0,119.0,109.0,487.0,442.0,61.0,500.0,347.0,164.0,518.0,425.0,123.0,659.0,113.0,72.0,1076.0,151.0,84.0
DOM-YAQ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,198.0,25.0,35.0,221.0,29.0,39.0,162.0,25.0,44.0,180.0,24.0,51.0,169.0,22.0,48.0,157.0,37.0,30.0
DOM-ZOF,108.0,8.0,2.0,323.0,22.0,1.0,285.0,20.0,1.0,280.0,16.0,4.0,258.0,19.0,2.0,122.0,4.0,5.0,107.0,4.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
