code,park,ent99,ent00,ent01,ent02,ent03,ent04,ent05,ent06,ent07,ent08,ent09,ent10,ent11,ent12,ent13,ent13,ent15,ent16,ent17,ent18,enter_2019
DOM-6NO,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
DOM-ALC,Los Alcarrizos,16.0,19.0,17.0,14.0,18.0,17.0,14.0,14.0,14.0,12.0,15.0,14.0,13.0,13.0,13.0,13.0,10.0,11.0,10.0,9.0,5.0
DOM-ALT,Villa Altagracia,2.0,2.0,2.0,3.0,3.0,3.0,4.0,7.0,9.0,9.0,7.0,7.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
DOM-AND,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
DOM-ARM,La Armer’a,11.0,10.0,9.0,11.0,10.0,10.0,10.0,9.0,8.0,8.0,7.0,5.0,5.0,6.0,6.0,6.0,8.0,9.0,8.0,7.0,6.0
DOM-AZU,0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DOM-BAN,Ban’,13.0,11.0,11.0,9.0,9.0,8.0,10.0,8.0,6.0,7.0,5.0,6.0,6.0,6.0,5.0,5.0,7.0,7.0,7.0,6.0,5.0
DOM-BAR,Barahona,3.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0
DOM-BAY,Bayaguana,0.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DOM-BON,Bonao,6.0,9.0,7.0,6.0,6.0,6.0,8.0,8.0,5.0,3.0,4.0,3.0,2.0,2.0,3.0,3.0,3.0,3.0,4.0,4.0,3.0
DOM-CAD,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,2.0
DOM-CAN,0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DOM-CDF,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0
DOM-CHE,Chemtec,13.0,12.0,10.0,9.0,11.0,13.0,9.0,9.0,7.0,5.0,5.0,6.0,7.0,8.0,8.0,8.0,9.0,7.0,8.0,8.0,9.0
DOM-CIB,0,0.0,0.0,1.0,3.0,3.0,1.0,2.0,2.0,5.0,8.0,9.0,8.0,11.0,8.0,9.0,9.0,5.0,6.0,5.0,5.0,8.0
DOM-CIP,Caribbean Ind. Park,12.0,15.0,14.0,13.0,11.0,13.0,15.0,16.0,16.0,14.0,15.0,18.0,20.0,20.0,23.0,23.0,29.0,30.0,35.0,32.0,31.0
DOM-CON,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0
DOM-COT,Cotu’,3.0,3.0,3.0,3.0,2.0,3.0,3.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DOM-CRI,Itabo,19.0,19.0,23.0,24.0,25.0,32.0,34.0,35.0,35.0,31.0,37.0,36.0,39.0,38.0,39.0,39.0,42.0,39.0,40.0,36.0,37.0
DOM-CTQ,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0
DOM-DOS,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
DOM-DPE,0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DOM-ELV,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0
DOM-EMI,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,5.0,5.0,5.0
DOM-ESP,Esperanza,10.0,10.0,9.0,9.0,10.0,10.0,9.0,6.0,6.0,6.0,8.0,8.0,6.0,4.0,5.0,5.0,6.0,6.0,7.0,6.0,5.0
DOM-EXC,Excel Boca Chica,1.0,2.0,2.0,2.0,2.0,4.0,4.0,4.0,3.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
DOM-FLO,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
DOM-FRA,San Fco. de Macor’s,7.0,5.0,6.0,5.0,5.0,5.0,4.0,4.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
DOM-GLO,Global,3.0,3.0,3.0,2.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
DOM-GUR,Gurabo,4.0,3.0,3.0,3.0,5.0,6.0,6.0,6.0,9.0,8.0,6.0,7.0,7.0,9.0,8.0,8.0,8.0,7.0,7.0,8.0,9.0
DOM-HAI,Hainamosa,13.0,11.0,12.0,13.0,12.0,9.0,9.0,10.0,11.0,12.0,8.0,7.0,6.0,5.0,5.0,5.0,7.0,5.0,5.0,5.0,6.0
DOM-HAN,0,0.0,0.0,1.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0
DOM-HAT,Hato Mayor,2.0,3.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
DOM-HER,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0
DOM-HIG,Higuey,3.0,3.0,3.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DOM-HIP,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0
DOM-HIS,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
DOM-HIT,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
DOM-IHA,Haina,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DOM-INE,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0
DOM-INF,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0
DOM-INT,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
DOM-ISI,San Isidro,28.0,26.0,36.0,37.0,40.0,42.0,42.0,35.0,38.0,38.0,37.0,39.0,34.0,31.0,32.0,32.0,33.0,32.0,32.0,32.0,38.0
DOM-JAI,Jaib—n,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DOM-JAN,Santiago J‡nico,2.0,2.0,3.0,2.0,2.0,2.0,3.0,3.0,3.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,2.0,2.0,2.0
DOM-JOB,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,3.0,3.0,3.0
DOM-KEP,0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DOM-KGC,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0
DOM-LAG,Laguna Prieta,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DOM-LAS,Las AmŽricas,20.0,19.0,20.0,21.0,18.0,22.0,23.0,22.0,23.0,23.0,22.0,21.0,25.0,23.0,24.0,24.0,25.0,26.0,26.0,26.0,28.0
DOM-LEO,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0
DOM-LIM,0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,4.0,4.0,5.0,5.0,5.0,4.0,5.0
DOM-LUN,0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DOM-MAC,San Pedro de Macor’s,55.0,51.0,54.0,49.0,52.0,55.0,53.0,42.0,40.0,42.0,43.0,38.0,41.0,40.0,39.0,39.0,41.0,40.0,43.0,48.0,46.0
DOM-MAD,Madre Vieja,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DOM-MAI,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0
DOM-MEL,Villa Mella,2.0,2.0,2.0,3.0,3.0,5.0,4.0,5.0,2.0,3.0,5.0,5.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,5.0,6.0
DOM-MIN,Los Minas,0.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DOM-MOC,Moca,12.0,12.0,12.0,12.0,11.0,11.0,8.0,9.0,6.0,7.0,8.0,8.0,9.0,9.0,11.0,11.0,8.0,9.0,9.0,9.0,9.0
DOM-MOI,0,0.0,0.0,1.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DOM-MUL,0,0.0,0.0,0.0,1.0,1.0,4.0,3.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,6.0,8.0,10.0
DOM-MUT,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
DOM-NAV,Navarrete,2.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,4.0,4.0,4.0,6.0,7.0,9.0,10.0
DOM-NIG,Nigua,16.0,13.0,16.0,12.0,12.0,14.0,8.0,12.0,11.0,9.0,10.0,9.0,9.0,9.0,8.0,8.0,6.0,7.0,8.0,8.0,10.0
DOM-NII,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
DOM-NOR,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,4.0,5.0
DOM-PAB,Palmar Abajo,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
DOM-PAL,0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,4.0,4.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,7.0,8.0,9.0
DOM-PAM,Palmarejo,3.0,3.0,3.0,3.0,5.0,5.0,5.0,5.0,6.0,6.0,6.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
DOM-PED,Pedernales,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
DOM-PER,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
DOM-PEV,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DOM-PIS,PISANO,12.0,15.0,26.0,31.0,31.0,36.0,34.0,34.0,34.0,37.0,28.0,24.0,29.0,25.0,26.0,26.0,28.0,27.0,27.0,26.0,24.0
DOM-PON,Pontezuela,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DOM-PUE,Puerto Plata,8.0,10.0,11.0,12.0,11.0,10.0,9.0,8.0,7.0,6.0,10.0,7.0,6.0,7.0,6.0,6.0,9.0,10.0,8.0,8.0,9.0
DOM-QUI,0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
DOM-RAF,0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DOM-RIE,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0
DOM-RII,La Romana II,8.0,6.0,6.0,7.0,6.0,5.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,4.0,4.0,5.0,4.0,5.0,5.0,5.0
DOM-RIO,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
DOM-ROB,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
DOM-ROM,La Romana I,21.0,20.0,19.0,15.0,12.0,12.0,8.0,9.0,7.0,7.0,7.0,6.0,7.0,7.0,6.0,6.0,7.0,6.0,6.0,5.0,5.0
DOM-S12,Santiago I y II,81.0,77.0,79.0,84.0,83.0,83.0,77.0,74.0,68.0,65.0,69.0,67.0,70.0,78.0,74.0,74.0,75.0,77.0,75.0,77.0,77.0
DOM-SAG,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0
DOM-SAL,Salcedo,1.0,1.0,1.0,1.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DOM-SEI,El Seibo,0.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0
DOM-SLI,Santiago Licey,6.0,7.0,7.0,9.0,11.0,12.0,11.0,7.0,7.0,8.0,8.0,8.0,9.0,8.0,8.0,8.0,8.0,9.0,9.0,9.0,10.0
DOM-SUN,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0
DOM-SUR,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0
DOM-TAL,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,1.0,3.0
DOM-TAM,Tamboril,2.0,1.0,1.0,2.0,5.0,5.0,5.0,4.0,3.0,5.0,5.0,8.0,9.0,7.0,8.0,8.0,10.0,11.0,11.0,12.0,11.0
DOM-VEG,La Vega,29.0,30.0,28.0,32.0,32.0,30.0,21.0,27.0,24.0,22.0,19.0,23.0,21.0,19.0,18.0,18.0,17.0,17.0,15.0,18.0,20.0
DOM-VER,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
DOM-VIS,0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
DOM-YAQ,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0
DOM-ZFE,Z.F. Especiales,28.0,27.0,31.0,33.0,35.0,41.0,56.0,75.0,72.0,82.0,114.0,122.0,127.0,140.0,145.0,145.0,136.0,144.0,151.0,0.0,0.0
DOM-ZOF,Zofinma (Mao),0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
