code,park,enter_2019
DOM-6NO,zona franca 6 de noviembre,1
DOM-ALC,los alcarrizos,5
DOM-ALT,villa altagracia,4
DOM-AND,andrés,1
DOM-ARM,la armería,6
DOM-BAN,baní,5
DOM-BAR,barahona,3
DOM-BON,bonao,3
DOM-CDF,parque industrial cdf,1
DOM-CHE,chemtec,9
DOM-CIB,cibernético,8
DOM-CIP,caribbean industrial park,31
DOM-CON,conacado industrial park,2
DOM-CRI,san cristóbal (itabo),37
DOM-CTQ,parque industrial ctq,2
DOM-DOS,dos ríos,1
DOM-EMI,zona franca inustrial. emimar,5
DOM-ESP,esperanza,5
DOM-ELV,Parque industrial Elva Maria ,3
DOM-EXC,excel boca chica,1
DOM-FLO,la flor dominicana,1
DOM-FRA,san francisco de macorís,2
DOM-GLO,global zona franca ind.,2
DOM-GUR,gurabo,9
DOM-HAI,hainamosa,6
DOM-HAN,hato nuevo,4
DOM-HAT,hato mayor,1
DOM-HER,parque z.f. tecnológica de herrera,2
DOM-HIP,la herradura industrial park,1
DOM-HIS,la hispaniola,1
DOM-HIT,zona franca industrial hit,1
DOM-INE,parque industrial inetab,2
DOM-INF,z.f. ind. y de servicios norte infiesto,1
DOM-INT,interexport free zone,1
DOM-ISI,san isidro,38
DOM-JAN,ecopark industrial free zone,2
DOM-JOB,zona franca jobo industrial,3
DOM-KGC,parque industrial kg compañía comercial,1
DOM-LAS,las américas,28
DOM-CAD,los candelones,2
DOM-LEO,parque industrial eduardo león jiménez,3
DOM-LIM,el limonal,5
DOM-VER,Luperon Verde ,1
DOM-MAC,san pedro de macorís,46
DOM-MAI,zona franca bahía de maimón,2
DOM-MEL,villa mella,6
DOM-MOC,moca,9
DOM-MUL,multimodal caucedo,10
DOM-MUT,multiparques,2
DOM-NAV,navarrete,10
DOM-NIG,nigua,10
DOM-NII,nigua II,1
DOM-NOR,zona franca industrial del norte,5
DOM-PAB,palmar abajo,1
DOM-PAL,la palma,9
DOM-PAM,palmarejo,5
DOM-PED,pedernales,1
DOM-PER,perlav,3
DOM-PIS,santiago-navarrete (pisano),24
DOM-PUE,puerto plata,9
DOM-QUI,quisqueya,1
DOM-RIE,los rieles,2
DOM-RII,la romana ii,5
DOM-ROM,la romana i,5
DOM-RIO,Zona Franca Rio Sur,1
DOM-S12,santiago,77
DOM-SAG,zona franca industrial sag,1
DOM-SEI,el seibo,1
DOM-SLI,parque tecnológico de santiago,10
DOM-SUR,zona franca industrial del sur,1
DOM-TAL,intercontinental,3
DOM-TAM,tamboril,11
DOM-VEG,la vega,20
DOM-VIS,bella vista,1
DOM-YAQ,parque industrial y de servicios yaque,1