code,Parques,op00,tec00
DOM-BAN,Bani,606.8,1496.91
DOM-BAR,Barahona,800,3166.67
DOM-BAY,Bayaguana,625,1750
DOM-BON,Bonao,579,1075
DOM-CIP,Caribbean Ind. Park,819.27,1952.05
DOM-COT,Cotui,512.33,1141.33
DOM-SEI,El Seibo,570,850
DOM-ESP,Esperanza,794.85,1830
DOM-EXC,Excel Boca Chica,656,1269
DOM-GLO,Global,783.33,1961.67
DOM-GUR,Gurabo,698.67,800
DOM-HAI,Hainamosa,618.27,1282.13
DOM-HAT,Hato Mayor,587.33,1700
DOM-HIG,Higuey,720,1668
DOM-CRI,Itabo,821.19,2123.65
DOM-JAI,Jaibon,950,2500
DOM-ARM,La Armeria,898.9,1978.89
DOM-ROM,La Romana I,729.31,2231.4
DOM-RII,La Romana II,713.5,1561.83
DOM-VEG,La Vega,716.77,1608.1
DOM-LAG,Laguna Prieta,800,2000
DOM-LAS,Las Americas,637.65,2002.17
DOM-ALC,Los Alcarrizos,620.42,1553.24
DOM-MIN,Los Minas,724.87,1704.99
DOM-ZOF,Mao (Zofinma),765,2000
DOM-MOC,Moca,692.37,1445.94
DOM-NAV,Navarrete,816.67,1791.67
DOM-NIG,Nigua,631.31,1333.38
DOM-CHE,Nueva Z.F.(Chem Tec),694.67,1654.55
DOM-PAM,Palmarejo,1066.67,1633.33
DOM-IHA,Parque Exp.Haina,496,545
DOM-PED,Pedernales,600,850
DOM-PIS,Pisano,787.59,1728.3
DOM-PON,Pontezuela,1060,1490
DOM-PUE,Puerto Plata,616.94,1437.13
DOM-SAL,Salcedo,513,1200
DOM-FRA,San Fco. De Macoris,547.18,1575
DOM-ISI,San Isidro,687.24,1509.77
DOM-MAC,San Pedro de Macoris,679.22,1497.67
DOM-S12,Santiago I II,819.91,1819.77
DOM-JAN,Santiago- Janico,705,2843.98
DOM-SLI,Santiago-Licey,862,2207.4
DOM-TAM,Tamboril,650,N/D
DOM-ALT,Villa Altagracia,702,1250
DOM-MEL,Villa Mella,825,2500