code,park,ob_m_09,tec_m_09,adm_m_09,total_m_09,ob_f_09,tec_f_09,adm_f_09,total_f_09,total_mf_09
DOM-AND,Andres,0,9,4,13,0,69,5,74,87
DOM-BAN,Baní,309,54,13,376,647,103,9,759,1135
DOM-BAR,Barahona,210,20,20,250,42,1,7,50,300
DOM-VIS,Bella Vista,757,125,103,985,36,5,29,70,1055
DOM-BON,Bonao,114,11,5,130,189,1,10,200,330
DOM-CIP,Caribbean Ind. Park,1614,598,65,2277,884,345,86,1315,3592
DOM-CIB,Cibernético,75,523,43,641,27,262,36,325,966
DOM-COT,Cotuí,85,18,2,105,116,8,3,127,232
DOM-CHE,Chemtec,161,37,22,220,292,6,19,317,537
DOM-LIM,El Limonal,100,7,6,113,62,3,7,72,185
DOM-SEI,El Seibo,2,1,3,6,65,0,3,68,74
DOM-ESP,Esperanza,1780,217,118,2115,1177,66,83,1326,3441
DOM-EXC,Excel Boca Chica,39,7,4,50,2,2,16,20,70
DOM-DOS,Dos Ríos,1397,56,43,1496,298,25,24,347,1843
DOM-GUR,Gurabo,653,149,88,890,510,79,62,651,1541
DOM-HAI,Hainamosa,244,24,17,285,420,8,22,450,735
DOM-HAN,Hato Nuevo,19,9,7,35,33,3,8,44,79
DOM-CRI,San Cristóbal (Itabo),2778,691,565,4034,5147,184,453,5784,9818
DOM-ARM,La Armería,156,33,11,200,427,32,18,477,677
DOM-HIS,La Hispaniola,81,5,2,88,6,3,1,10,98
DOM-PAL,La Palma,136,6,6,148,245,2,3,250,398
DOM-ROM,La Romana I,1059,194,155,1408,2473,43,105,2621,4029
DOM-RII,La Romana II,223,207,26,456,985,180,20,1185,1641
DOM-VEG,La Vega,1616,239,62,1917,1588,61,51,1700,3617
DOM-LAS,Las Américas,2445,712,559,3716,6296,645,352,7293,11009
DOM-ALC,Los Alcarrizos,395,93,48,536,383,35,46,464,1000
DOM-MIN,Los Mina,0,4,2,6,0,0,2,2,8
DOM-MOC,Moca,283,69,77,429,446,15,43,504,933
DOM-MUT,Multiparques,179,20,24,223,5,2,48,55,278
DOM-MUL,Multimodal Caucedo,0,2,3,5,0,0,0,0,5
DOM-NAV,Navarrete,367,17,10,394,376,8,6,390,784
DOM-NIG,Nigua,366,128,91,585,438,16,56,510,1095
DOM-PAB,Palmar Abajo,15,2,1,18,3,0,0,3,21
DOM-PAM,Palmarejo,323,93,22,438,310,83,13,406,844
DOM-PED,Pedernales,435,20,12,467,185,9,6,200,667
DOM-PIS,PISANO,1752,310,156,2218,947,54,105,1106,3324
DOM-PUE,Puerto Plata,368,117,22,507,427,42,25,494,1001
DOM-SAL,Salcedo,110,4,7,121,127,6,9,142,263
DOM-FRA,San Fco. Macorís,18,17,1,36,43,5,1,49,85
DOM-ISI,San Isidro,2289,1077,202,3568,4147,663,291,5101,8669
DOM-MAC,San PedroMacorís,2559,695,283,3537,5213,386,250,5849,9386
DOM-S12,Santiago,5577,1036,490,7103,6516,541,371,7428,14531
DOM-JAN,Santiago-Jánico,185,5,4,194,118,2,6,126,320
DOM-SLI,Parque Tecnológico de Stgo,178,9,11,198,82,2,7,91,289
DOM-TAM,Tamboril,294,25,41,360,602,2,20,624,984
DOM-ALT,Villa Altagracia,63,27,6,96,66,7,15,88,184
DOM-MEL,Villa Mella,63,26,5,94,201,14,22,237,331
,Z.F. Especiales,7563,1605,1135,10303,6360,717,857,7934,18237