code,total_mf_00,total_mf_01,total_mf_02,total_mf_03,total_mf_04,total_mf_05,total_mf_06,total_mf_07,total_mf_08,total_mf_09,total_mf_10,total_mf_11,total_mf_12,total_mf_14,total_mf_15,total_mf_16
DOM-6NO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.0
DOM-ALC,3532.0,2769.0,2225.0,2225.0,3125.0,2233.0,2065.0,1170.0,1122.0,1000.0,1078.0,1239.0,1242.0,927.0,0.0,959.0
DOM-ALT,3131.0,2630.0,2348.0,2013.0,965.0,803.0,526.0,228.0,217.0,184.0,303.0,206.0,221.0,290.0,0.0,265.0
DOM-AND,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.0,93.0,67.0,66.0,67.0,0.0,79.0
DOM-ARM,2708.0,1981.0,2001.0,1874.0,2346.0,1097.0,1288.0,1188.0,789.0,677.0,316.0,352.0,414.0,387.0,0.0,725.0
DOM-AZU,0.0,10.0,11.0,46.0,57.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DOM-BAN,4682.0,4070.0,3255.0,3188.0,3411.0,3142.0,2020.0,1498.0,1731.0,1135.0,1000.0,1082.0,661.0,488.0,0.0,496.0
DOM-BAR,1306.0,2092.0,1490.0,1259.0,1565.0,1245.0,1000.0,885.0,600.0,300.0,245.0,125.0,133.0,1215.0,0.0,1490.0
DOM-BAY,150.0,115.0,122.0,41.0,36.0,28.0,35.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DOM-BON,3722.0,2818.0,2149.0,3052.0,2978.0,2723.0,1948.0,1252.0,660.0,330.0,323.0,464.0,271.0,321.0,0.0,318.0
DOM-CAN,0.0,0.0,0.0,39.0,33.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DOM-CDF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,483.0,0.0,399.0
DOM-CHE,2962.0,2201.0,798.0,486.0,1062.0,792.0,807.0,1018.0,535.0,537.0,582.0,634.0,666.0,455.0,0.0,476.0
DOM-CIB,0.0,1.0,32.0,10.0,5.0,47.0,39.0,791.0,852.0,966.0,804.0,556.0,828.0,873.0,0.0,789.0
DOM-CIP,5751.0,4437.0,5538.0,5605.0,5998.0,4433.0,3557.0,6510.0,5549.0,3592.0,3092.0,3143.0,4168.0,5054.0,0.0,5357.0
DOM-CON,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,172.0,0.0,341.0
DOM-COT,378.0,369.0,413.0,415.0,461.0,404.0,347.0,306.0,246.0,232.0,0.0,0.0,0.0,0.0,0.0,0.0
DOM-CRI,10045.0,10391.0,10397.0,10751.0,11596.0,12228.0,12964.0,11933.0,12769.0,9818.0,11225.0,11830.0,12262.0,13323.0,0.0,13946.0
DOM-CTQ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,287.0
DOM-DOS,0.0,0.0,0.0,0.0,0.0,0.0,909.0,1403.0,1744.0,1843.0,1760.0,1770.0,1761.0,2280.0,0.0,2308.0
DOM-DPE,0.0,0.0,0.0,0.0,43.0,40.0,44.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DOM-EMI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,470.0,0.0,1856.0
DOM-ESP,7462.0,6697.0,6176.0,7171.0,6881.0,5330.0,5265.0,4263.0,3114.0,3441.0,3661.0,2193.0,1990.0,2854.0,0.0,3290.0
DOM-EXC,220.0,213.0,128.0,132.0,139.0,126.0,130.0,134.0,62.0,70.0,75.0,73.0,65.0,95.0,0.0,108.0
DOM-FRA,984.0,841.0,1256.0,1050.0,1079.0,690.0,651.0,539.0,102.0,85.0,94.0,116.0,121.0,116.0,0.0,123.0
DOM-GLO,358.0,473.0,420.0,303.0,264.0,84.0,90.0,0.0,0.0,0.0,0.0,0.0,4.0,11.0,0.0,14.0
DOM-GUR,2330.0,2497.0,2544.0,1928.0,2577.0,2696.0,2319.0,2815.0,1274.0,1541.0,1274.0,1590.0,1867.0,3292.0,0.0,3817.0
DOM-HAI,3006.0,1765.0,1457.0,1777.0,1803.0,835.0,914.0,875.0,860.0,735.0,830.0,316.0,392.0,334.0,0.0,493.0
DOM-HAN,0.0,316.0,332.0,529.0,742.0,412.0,256.0,84.0,87.0,79.0,144.0,139.0,112.0,236.0,0.0,200.0
DOM-HAT,518.0,704.0,376.0,368.0,388.0,480.0,767.0,707.0,360.0,0.0,0.0,84.0,243.0,202.0,0.0,242.0
DOM-HER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,526.0,0.0,447.0
DOM-HIG,1370.0,1261.0,434.0,402.0,444.0,414.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DOM-HIP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0
DOM-HIS,0.0,0.0,0.0,0.0,0.0,95.0,85.0,60.0,98.0,98.0,22.0,18.0,9.0,81.0,0.0,63.0
DOM-IHA,761.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DOM-INE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,486.0
DOM-INF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,9.0
DOM-INT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,189.0,235.0,208.0,234.0,0.0,245.0
DOM-ISI,7470.0,7283.0,7088.0,8269.0,9620.0,7670.0,8530.0,8267.0,9354.0,8669.0,10456.0,10377.0,10847.0,11339.0,0.0,11604.0
DOM-JAI,80.0,49.0,11.0,76.0,70.0,70.0,67.0,45.0,0.0,0.0,0.0,12.0,13.0,0.0,0.0,0.0
DOM-JAN,265.0,583.0,567.0,1150.0,1621.0,1322.0,1220.0,976.0,177.0,320.0,259.0,407.0,428.0,316.0,0.0,566.0
DOM-JOB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,113.0
DOM-JOB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0
DOM-JOB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,113.0
DOM-JOB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0
DOM-KEP,0.0,0.0,0.0,0.0,0.0,51.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DOM-KGC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,392.0,0.0,346.0
DOM-LAG,76.0,106.0,105.0,103.0,11.0,6.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DOM-LAS,10235.0,9036.0,9553.0,10136.0,11165.0,10944.0,11237.0,11310.0,13089.0,11009.0,10910.0,11001.0,11574.0,12149.0,0.0,12739.0
DOM-LIM,0.0,0.0,0.0,0.0,0.0,278.0,218.0,160.0,159.0,185.0,174.0,265.0,136.0,365.0,0.0,267.0
DOM-LUN,0.0,132.0,305.0,464.0,518.0,437.0,333.0,67.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DOM-MAC,17741.0,16213.0,16671.0,16633.0,18521.0,13090.0,11435.0,11159.0,9930.0,9386.0,10300.0,8849.0,9115.0,9968.0,0.0,11534.0
DOM-MEL,3995.0,3299.0,2011.0,1903.0,2920.0,2163.0,1816.0,34.0,184.0,331.0,249.0,203.0,215.0,302.0,0.0,244.0
DOM-MIN,6.0,105.0,139.0,26.0,36.0,65.0,43.0,8.0,9.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0
DOM-MOC,6103.0,5343.0,5509.0,4867.0,5229.0,3375.0,3284.0,1314.0,1123.0,933.0,1497.0,1435.0,1495.0,1148.0,0.0,1700.0
DOM-MOI,0.0,19.0,50.0,143.0,150.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DOM-MUL,0.0,0.0,90.0,33.0,937.0,67.0,45.0,20.0,5.0,5.0,9.0,12.0,14.0,60.0,0.0,53.0
DOM-MUT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,275.0,296.0,278.0,291.0,287.0,319.0,352.0,0.0,317.0
DOM-NAV,1744.0,1138.0,1009.0,1442.0,2051.0,1545.0,1200.0,648.0,874.0,784.0,855.0,1139.0,1017.0,1072.0,0.0,1693.0
DOM-NIG,1714.0,1938.0,1836.0,1451.0,1613.0,1262.0,1397.0,1374.0,1129.0,1095.0,1018.0,1338.0,1469.0,1753.0,0.0,2159.0
DOM-NOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
DOM-PAB,1599.0,11.0,23.0,24.0,28.0,25.0,25.0,18.0,28.0,21.0,1.0,1.0,1.0,1.0,0.0,1.0
DOM-PAL,0.0,0.0,0.0,0.0,146.0,151.0,184.0,405.0,478.0,398.0,425.0,436.0,657.0,744.0,0.0,935.0
DOM-PAM,797.0,725.0,759.0,794.0,1104.0,1261.0,1360.0,1608.0,1125.0,844.0,931.0,762.0,911.0,1193.0,0.0,951.0
DOM-PED,8.0,69.0,53.0,79.0,129.0,125.0,240.0,375.0,394.0,667.0,568.0,598.0,383.0,369.0,0.0,653.0
DOM-PER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,390.0,540.0,407.0,460.0,0.0,424.0
DOM-PEV,0.0,0.0,0.0,0.0,756.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DOM-PIS,2508.0,2576.0,3363.0,3306.0,4000.0,3767.0,3986.0,3762.0,3506.0,3324.0,3847.0,4605.0,4973.0,6047.0,0.0,5934.0
DOM-PON,78.0,130.0,217.0,116.0,99.0,148.0,157.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
DOM-PUE,3585.0,3451.0,3298.0,3474.0,3218.0,2024.0,1186.0,1607.0,1353.0,1001.0,870.0,965.0,1050.0,903.0,0.0,1009.0
DOM-QUI,0.0,40.0,91.0,139.0,75.0,0.0,75.0,67.0,297.0,0.0,0.0,0.0,0.0,324.0,0.0,211.0
DOM-RAF,0.0,0.0,145.0,138.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DOM-RIE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,682.0,0.0,1035.0
DOM-RII,2256.0,3105.0,2630.0,2621.0,2738.0,1902.0,1520.0,1467.0,1466.0,1641.0,1833.0,1773.0,2005.0,2473.0,0.0,2585.0
DOM-ROB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91.0,0.0,0.0
DOM-ROM,14252.0,12097.0,9387.0,8876.0,8307.0,4338.0,4837.0,4431.0,4452.0,4029.0,5020.0,5177.0,5098.0,4875.0,0.0,4913.0
DOM-S12,44779.0,39187.0,41870.0,19616.0,43588.0,34878.0,29865.0,17677.0,16340.0,14531.0,13932.0,14250.0,16452.0,17883.0,0.0,17626.0
DOM-SAG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,293.0,315.0,0.0,216.0
DOM-SAL,337.0,298.0,76.0,322.0,570.0,429.0,183.0,225.0,750.0,263.0,208.0,178.0,303.0,0.0,0.0,0.0
DOM-SEI,150.0,255.0,289.0,326.0,351.0,393.0,224.0,122.0,131.0,74.0,93.0,92.0,118.0,156.0,0.0,134.0
DOM-SLI,1120.0,1113.0,764.0,636.0,884.0,741.0,217.0,131.0,308.0,289.0,273.0,233.0,236.0,320.0,0.0,287.0
DOM-SUN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0
DOM-SUR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,33.0
DOM-TAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0
DOM-TAM,25.0,189.0,268.0,626.0,627.0,575.0,431.0,565.0,1340.0,984.0,733.0,3047.0,3734.0,5622.0,0.0,5604.0
DOM-VEG,13480.0,10324.0,10994.0,10670.0,10252.0,6859.0,6783.0,4616.0,4566.0,3617.0,5487.0,5353.0,5285.0,6833.0,0.0,5868.0
DOM-VIS,0.0,0.0,0.0,0.0,53.0,624.0,1195.0,1121.0,1149.0,1055.0,1194.0,1131.0,1134.0,1184.0,0.0,1760.0
DOM-YAQ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,283.0,320.0,258.0,280.0,0.0,251.0
DOM-ZFE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24332.0,26194.0,0.0,26977.0
DOM-ZOF,205.0,505.0,449.0,435.0,412.0,398.0,363.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,5676.0,0.0,6283.0,7862.0,8845.0,11465.0,14842.0,14612.0,15748.0,18237.0,19888.0,21988.0,0.0,0.0,0.0,0.0
