code,park,ele17,tss17,inf17,wat17,com17
DOM-AND,Andrés,1484297,5061051.49,272479,161921,1186719
DOM-BAN,Baní,5209901.6,6115683.17,651029.52,298880,1959452.37
DOM-BAR,Barahona,37847480.28,69579395.55,1346897,144000,3096464.31
DOM-VIS,Bella Vista,282082948.8,8357755.89,3544271,18119240,9008871.5
DOM-BON,Bonao,3393661.1,28740288.49,378496,144000,1297725.75
DOM-CIP,Caribbean Industrial Park,119332989.8,208362073.9,7647444.98,15743215.26,12241920.83
DOM-CHE,Chemtec,19429924.73,20076595.84,908695.36,274561.57,2978614.24
DOM-CIB,Cibernético,58707357.22,90126680.23,1798310.09,698927.77,34239771.71
DOM-CON,Conacado Industrial Park,6292969.56,10470457.57,537039.11,262207.07,3842628.36
DOM-DOS,Dos Ríos,268916088.3,135716722.4,6385860,2353392.59,3634252.26
DOM-LIM,El Limonal,10653057.07,11187291.43,516519,99406.76,1606787.48
DOM-SEI,El Seibo,693193,4393575.64,121656.73,40844,36000
DOM-ESP,Esperanza,24758012.24,72780431.54,3604882,1714384.37,12846726.33
DOM-EXC,Excel Boca Chica,10100600,8029414.7,629530.8,660000,3377855
DOM-GLO,Global Zona Franca Industrial,226849,329925.59,17997,0,187316
DOM-GUR,Gurabo,35402588.7,112316872.6,5320588.52,1530044.05,9034570.68
DOM-HAI,Hainamosa,2200795.91,15922354.9,809210,1673646,3901142.93
DOM-HAT,Hato Mayor,864000,8213569.65,396360,43200,300000
DOM-HAN,Hato Nuevo,2259448.05,11128345.14,388404,2000,4782223.61
DOM-TAL,Intercontinental,1495742.07,1475055.97,38053,0,171806.86
DOM-INT,Interexport Free Zone,10162791.28,10703792.75,483040.8,192000,2454285.52
DOM-ARM,La Armería,3749228.35,14603635.91,649930,730737.32,2681815.41
DOM-HIP,La Herradura Industrial Park,2800000,317267.23,13723,88150,48525
DOM-HIS,La Hispaniola,8692908.98,0,78179.8,0,276625.96
DOM-PAL,La Palma,2702600.77,20905400.24,925600.03,138290,1.783228.22
DOM-ROM,La Romana I,80938586.91,158546707.1,7755049.64,1600186.33,18421507.82
DOM-RII,La Romana II,82150769.7,120344303.7,1740716.7,1784852,10557835.33
DOM-VEG,La Vega,49982735.63,101542406,4540223.72,1886256.88,5242662.86
DOM-LAS,Las Américas,293197520.5,378167242.9,22472486.29,3076007.04,53017998.04
DOM-ALC,Los Alcarrizos,14093068.47,25825199.68,1453292.93,847839.06,3993701.39
DOM-RIE,Los Rieles,3355923,24912676.83,891852,71985,1124274
DOM-MOC,Moca,22247976.35,36712253.04,1738116.89,677115.59,2453103.67
DOM-MUL,Multimodal Caucedo,1061570.8,80506809.6,713893.16,48886.73,770855.11
DOM-MUT,Multiparques,32570375.29,27970585.59,1235882.7,65626.86,3874894.37
DOM-NAV,Navarrete,12922250.61,20206374.9,851598,221528,942324
DOM-NIG,Nigua,54417538.38,94471383.2,3642451.39,898967.06,5428653.06
DOM-PAB,Palmar Abajo,11000,25440,1625,1565,2000
DOM-PAM,Palmarejo,9472423.1,55481714.57,2076052,0,3026836.37
DOM-SUN,Parque Ind. Zona Franca Sunsea,2238300,2018342.07,93631.2,77040,57912
DOM-CDF,Parque Industrial CDF,1685129.89,11073333.87,502825.66,526211.66,683225.52
DOM-CTQ,Parque Industrial CTQ,1649052.87,7358067.22,349145,192134,325595.68
DOM-INE,Parque Industrial INETAB,21772129.86,0,1349732.27,1968103.04,325595.68
DOM-KGC,Parque Industrial KG Compañía Comercial,180609,6098495.45,281583,6000,305067
DOM-YAQ,Parque Industrial y de Servicios Yaque,19351893.44,11602715.33,618504.84,3431458.91,995739.91
DOM-SLI,Parque Tecnológico de Santiago,6236185.32,9374287.46,436335.35,353303,600551.18
DOM-HER,Parque Zona Franca Tecnológica de Herrera,1047638.38,111368.5,189561.96,2918.72,852093.45
DOM-PED,Pedernales,2040000,11438572.01,608354.05,0,720000
DOM-PER,PERLAV,28143848.59,35872718.96,1423837.49,1812773.76,5994857.68
DOM-PIS,PISANO,124490261.3,255027390.6,11684434.49,10652481.68,12536143.53
DOM-PUE,Puerto Plata,12828743.3,27747091.45,1154058.59,615689,1953110.53
DOM-QUI,Quisqueya,3777713.94,108864,0,25000,429823.91
DOM-CRI,San Cristóbal (Itabo),691608513.3,713218540.4,35032561.49,13727797.41,121501795.6
DOM-FRA,San Francisco de Macorís,1378218.82,2889244.47,135889,96000,288412.31
DOM-ISI,San Isidro,301999123.9,642618828.7,32354438.13,3980714.37,34938052.24
DOM-MAC,San Pedro de Macorís,185343711.9,371115255.3,16128654.41,3288044.48,28222730.29
DOM-S12,Santiago,389845544.2,661911531.8,28174433.54,29919563.44,44710518.61
DOM-JAN,Santiago-Jánico,21240677.08,16347064.85,446115.68,1102800,1539845.33
DOM-TAM,Tamboril,144050964.4,176166828.2,7691189.84,4470367.79,3405664.19
DOM-ALT,Villa Altagracia,2298832.03,13578419.6,615370.01,392173.15,1404116.58
DOM-MEL,Villa Mella,6126095.99,9436315.59,558274,144064.17,389166.06
DOM-INF,Z.F. Ind. y de Servicios Norte Infiesto,321641.42,7250941,26849.25,0,400167.45
DOM-MAI,Zona Franca Bahía de Maimón,3124677.25,11292765.93,175267.56,40106.33,166846.66
DOM-6NO,Zona Franca Ind. 6 de Noviembre,4540135.04,2323084.38,131204.54,20654.15,424386.85
DOM-NOR,Zona Franca Industrial del Norte,72709.67,326034,10500,36969,96140
DOM-SUR,Zona Franca Industrial del Sur,76325,101580.6,0,0,34201
DOM-RIO,Zona Franca Industrial Riosur,0,244405.78,0,0,0
DOM-EMI,Zona Franca Industrial Emimar,17069171.81,48600725.44,1758435,459488.32,1337073.17
DOM-SAG,Zona Franca Industrial SAG,2006358,6216328.08,270774,180197.24,711191
DOM-JOB,Zona Franca Jobo Industrial,881498.16,1485900.17,76921,53860.56,168619.35
DOM-CAD,Los Candelones ,85000,1708665.46,40391.27,15992.06,33230.16
DOM-ELV,Elva Maria,20000,61567.25,6960,5000,0