code,park, area07, buiilt07, ocu07, availa07
DOM-BAN, Baní,10760000,380148,187639,192509
DOM-BAR, Barahona,2639955,276405,226157,50248
DOM-BAY, Bayaguana,1949195,32356,16178,16178
DOM-VIS, Bella Vista,24482003.22,486352,486352,0
DOM-BON, Bonao,2582400,500155,365030,135125
DOM-CIP, Caribbean Ind. Park,3782500,985000,931445.37,53554.63
DOM-CHE, Chemtec,1257730,493802,478702,15100
DOM-CIB, Cibernético,3500000,100000,70210,29790
DOM-COT, Cotuí,857916,82965,49779,33186
DOM-DPE, Don Pedro,290386.7,26000,26000,0
DOM-DOS, Dos Rios,12266400,629460,629460,0
DOM-SEI, El Seibo,1581728,48563,32375,16188
DOM-LIM, El Limonal,236622.5,40219,40219,0
DOM-ESP, Esperanza,1500000,528342.42,415988.28,112354.14
DOM-EXC, Excel Boca Chica,161400,35000,35000,0
DOM-GUR, Gurabo,1179211.64,487020,451820,35200
DOM-HAI, Hainamosa,2200000,481763.45,194717,287046.45
DOM-HAT, Hato Mayor,505739,55019,55019,0
DOM-HAN, Hato Nuevo,393998,149419,149419,0
DOM-CRI, Itabo,4896569.6,1713262,1682262,31000
DOM-JAI, Jaibón,365463,75320,47000,28320
DOM-ARM, La Armería,1416919,337529,337529,0
DOM-HIS, La Hispaniola,217000,117247,72635,44612
DOM-PAL, La Palma,1306297.62,70000,46393,23607
DOM-ROM, La Romana I,12248097.78,1128599.49,459214,669385.49
DOM-RII, La Romana II,8070000,478853,328813,150040
DOM-VEG, La Vega,3848081,1208176,1093112,115064
DOM-LAG, Laguna Prieta,183232,16000,16000,0
DOM-LAS, Las Américas,12605238,1509756.37,1509756.37,0
DOM-ALC, Los Alcarrizos,2314545,563307,547120,16187
DOM-MIN, LosMina,270753,49106,13648,35458
DOM-MOC, Moca,1838706,512167,512167,0
DOM-MUL, Multimodal Caucedo,8661552.52,96302,96302,0
DOM-MUT, Multiparques,550893.82,392882,392882,0
DOM-NAV, Navarrete,837386,200000,30000,170000
DOM-NIG, Nigua,1946473.24,546041,413041,133000
DOM-PAB, Palmar Abajo,304078,121886,121886,0
DOM-PAM, Palmarejo,419136,386996.2,354794.2,32202
DOM-PED, Pedernales,145572,60000,60000,0
DOM-PIS, PISANO,2775928,1014211,864078.43,150132.57
DOM-PUE, Puerto Plata,2762520,444629,153961,290668
DOM-QUI, Quisqueya,1642445,50929,50929,0
DOM-SAL, Salcedo,1319768,48563,48563,0
DOM-FRA, San Francisco de M.,1354738,164584,82897,81687
DOM-ISI, San Isidro,5154040,1311572.06,1193031.14,118540.92
DOM-MAC, San Pedro de M.,11742115,2431726,2204466,227260
DOM-S12, Santiago,7453349,3705997,2672118,1033879
DOM-JAN, Santiago-Jánico,1452600,200000,200000,0
DOM-SLI, Santiago-Licey,1129800,177750,79500,98250
DOM-TAM, Tamboril,910000,216000,88410,127590
DOM-ALT, Villa Altagracia,3970000,225375.63,212846,12529.63
DOM-MEL, Villa Mella,6104882.64,362817.28,307153.19,55664.09
DOM-LUN, Zona Franca Ind. Luna,541571,80000,32292,47708